seed_index,norad_id,object_name,orbit_class,service_class,station_index,station_id,station_name,support_possible,compatible,active,station_orbit_mask,station_service_mask,period_min,perigee_km,apogee_km
7,26388,TDRS 8,GEO,RELAY,7,1008,Singapore Relay Profile,1,1,1,GEO,RELAY,1436.175931,35774.751775,35801.561103
7,26388,TDRS 8,GEO,RELAY,8,1009,Cape Town EO Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,1436.175931,35774.751775,35801.561103
7,26388,TDRS 8,GEO,RELAY,9,1010,Santiago EO Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,1436.175931,35774.751775,35801.561103
7,26388,TDRS 8,GEO,RELAY,10,1011,McMurdo Polar Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,1436.175931,35774.751775,35801.561103
7,26388,TDRS 8,GEO,RELAY,11,1012,Tokyo Science Profile,1,0,0,LEO|MEO|HEO,NAV|SCIENCE|CREWED,1436.175931,35774.751775,35801.561103
7,26388,TDRS 8,GEO,RELAY,12,1013,Tromso Polar Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,1436.175931,35774.751775,35801.561103
7,26388,TDRS 8,GEO,RELAY,13,1014,Equatorial Relay Profile,1,1,1,GEO,RELAY,1436.175931,35774.751775,35801.561103
7,26388,TDRS 8,GEO,RELAY,14,1015,Alaska Mixed Profile,0,0,0,LEO|MEO,NAV|EARTH_OBS|SCIENCE|CREWED,1436.175931,35774.751775,35801.561103
7,26388,TDRS 8,GEO,RELAY,15,1016,Kwajalein Mixed Profile,1,1,1,LEO|MEO|GEO,NAV|RELAY|EARTH_OBS|SCIENCE|CREWED,1436.175931,35774.751775,35801.561103
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,0,1001,NL Navigation Profile,1,1,1,MEO,NAV,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,1,1002,NL Science Profile,1,0,0,LEO|HEO,EARTH_OBS|SCIENCE|CREWED,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,2,1003,Svalbard Polar Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,3,1004,Canberra Deep Profile,1,1,1,MEO|GEO|HEO,NAV|RELAY|SCIENCE,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,4,1005,Goldstone Deep Profile,1,1,1,MEO|GEO|HEO,NAV|RELAY|SCIENCE,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,5,1006,Madrid Deep Profile,1,1,1,MEO|GEO|HEO,NAV|RELAY|SCIENCE,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,6,1007,Hawaii Navigation Profile,1,1,1,MEO,NAV,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,7,1008,Singapore Relay Profile,1,0,0,GEO,RELAY,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,8,1009,Cape Town EO Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,9,1010,Santiago EO Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,10,1011,McMurdo Polar Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,11,1012,Tokyo Science Profile,1,1,1,LEO|MEO|HEO,NAV|SCIENCE|CREWED,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,12,1013,Tromso Polar Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,13,1014,Equatorial Relay Profile,1,0,0,GEO,RELAY,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,14,1015,Alaska Mixed Profile,1,1,1,LEO|MEO,NAV|EARTH_OBS|SCIENCE|CREWED,717.996096,19865.306857,20500.090060
8,26407,GPS BIIR-5  (PRN 22),MEO,NAV,15,1016,Kwajalein Mixed Profile,1,1,1,LEO|MEO|GEO,NAV|RELAY|EARTH_OBS|SCIENCE|CREWED,717.996096,19865.306857,20500.090060
9,26998,TIMED,LEO,SCIENCE,0,1001,NL Navigation Profile,1,0,0,MEO,NAV,96.246210,577.081484,580.458365
9,26998,TIMED,LEO,SCIENCE,1,1002,NL Science Profile,1,1,1,LEO|HEO,EARTH_OBS|SCIENCE|CREWED,96.246210,577.081484,580.458365
9,26998,TIMED,LEO,SCIENCE,2,1003,Svalbard Polar Profile,1,1,1,LEO,EARTH_OBS|SCIENCE,96.246210,577.081484,580.458365
9,26998,TIMED,LEO,SCIENCE,3,1004,Canberra Deep Profile,1,0,0,MEO|GEO|HEO,NAV|RELAY|SCIENCE,96.246210,577.081484,580.458365
9,26998,TIMED,LEO,SCIENCE,4,1005,Goldstone Deep Profile,1,0,0,MEO|GEO|HEO,NAV|RELAY|SCIENCE,96.246210,577.081484,580.458365
9,26998,TIMED,LEO,SCIENCE,5,1006,Madrid Deep Profile,1,0,0,MEO|GEO|HEO,NAV|RELAY|SCIENCE,96.246210,577.081484,580.458365
9,26998,TIMED,LEO,SCIENCE,6,1007,Hawaii Navigation Profile,1,0,0,MEO,NAV,96.246210,577.081484,580.458365
9,26998,TIMED,LEO,SCIENCE,7,1008,Singapore Relay Profile,1,0,0,GEO,RELAY,96.246210,577.081484,580.458365
9,26998,TIMED,LEO,SCIENCE,8,1009,Cape Town EO Profile,1,1,1,LEO,EARTH_OBS|SCIENCE,96.246210,577.081484,580.458365
9,26998,TIMED,LEO,SCIENCE,9,1010,Santiago EO Profile,1,1,1,LEO,EARTH_OBS|SCIENCE,96.246210,577.081484,580.458365
