timestamp, utilization_gpu_pct, utilization_memory_pct, memory_used_mib, power_draw_w, temperature_gpu_c, clocks_sm_mhz, clocks_mem_mhz
2026/08/17 08:27:34.858, 100, 0, 612, 74.09, 68, 2767, 9001
2026/08/17 08:27:35.156, 100, 0, 612, 70.92, 68, 2767, 11001
2026/08/17 08:27:35.451, 100, 0, 612, 70.92, 68, 2767, 11001
2026/08/17 08:27:35.748, 100, 0, 612, 67.76, 68, 2767, 14001
2026/08/17 08:27:36.046, 100, 0, 612, 70.37, 68, 2767, 14001
2026/08/17 08:27:36.343, 100, 0, 612, 70.37, 68, 2767, 14001
2026/08/17 08:27:36.638, 100, 0, 612, 73.78, 68, 2767, 14001
2026/08/17 08:27:36.950, 100, 0, 612, 73.78, 68, 2767, 14001
2026/08/17 08:27:37.249, 100, 0, 612, 73.93, 68, 2767, 14001
2026/08/17 08:27:37.549, 100, 0, 612, 74.32, 68, 2767, 14001
2026/08/17 08:27:37.848, 100, 0, 612, 74.32, 68, 2767, 14001
2026/08/17 08:27:38.160, 100, 0, 612, 75.07, 69, 2767, 14001
2026/08/17 08:27:38.472, 100, 0, 612, 75.07, 69, 2767, 14001
2026/08/17 08:27:38.785, 100, 0, 612, 75.51, 69, 2767, 11001
2026/08/17 08:27:39.095, 100, 0, 612, 74.34, 68, 2767, 9001
2026/08/17 08:27:39.409, 100, 0, 612, 74.34, 68, 2767, 9001
2026/08/17 08:27:39.719, 100, 0, 612, 72.32, 68, 2767, 9001
2026/08/17 08:27:40.014, 100, 0, 612, 72.32, 68, 2767, 9001
2026/08/17 08:27:40.309, 100, 0, 612, 72.13, 68, 2767, 9001
2026/08/17 08:27:40.606, 100, 0, 612, 72.03, 68, 2767, 9001
2026/08/17 08:27:40.900, 100, 0, 612, 72.03, 68, 2767, 9001
2026/08/17 08:27:41.199, 100, 0, 612, 71.76, 68, 2767, 9001
2026/08/17 08:27:41.495, 100, 0, 612, 71.76, 68, 2767, 9001
2026/08/17 08:27:41.794, 100, 0, 612, 73.04, 69, 2767, 9001
2026/08/17 08:27:42.092, 100, 0, 612, 71.25, 68, 2767, 11001
2026/08/17 08:27:42.403, 100, 0, 612, 71.25, 68, 2767, 11001
2026/08/17 08:27:42.702, 100, 0, 612, 67.75, 68, 2767, 14001
2026/08/17 08:27:43.000, 100, 0, 612, 67.75, 68, 2767, 14001
2026/08/17 08:27:43.296, 100, 0, 612, 70.50, 69, 2767, 14001
2026/08/17 08:27:43.609, 100, 0, 612, 75.43, 69, 2767, 11001
2026/08/17 08:27:43.923, 100, 0, 612, 75.43, 69, 2767, 11001
2026/08/17 08:27:44.222, 100, 0, 612, 75.86, 69, 2767, 11001
2026/08/17 08:27:44.535, 100, 0, 612, 75.86, 69, 2767, 11001
2026/08/17 08:27:44.834, 100, 0, 612, 73.77, 69, 2767, 11001
2026/08/17 08:27:45.131, 100, 0, 612, 73.77, 69, 2767, 9001
2026/08/17 08:27:45.441, 100, 0, 612, 73.77, 69, 2767, 9001
2026/08/17 08:27:45.736, 100, 0, 612, 74.47, 69, 2767, 11001
2026/08/17 08:27:46.034, 100, 0, 612, 74.47, 69, 2767, 11001
2026/08/17 08:27:46.333, 100, 0, 612, 69.00, 69, 2767, 11001
2026/08/17 08:27:46.629, 100, 0, 612, 67.62, 69, 2767, 14001
2026/08/17 08:27:46.927, 100, 0, 612, 67.62, 69, 2767, 14001
2026/08/17 08:27:47.225, 100, 0, 612, 72.09, 69, 2767, 14001
2026/08/17 08:27:47.534, 100, 0, 612, 72.09, 69, 2767, 14001
2026/08/17 08:27:47.830, 100, 0, 612, 74.25, 69, 2767, 14001
2026/08/17 08:27:48.128, 100, 0, 612, 74.64, 69, 2767, 14001
